,date,gdp
0,1960-01-01,
1,1960-04-01,-0.005383572810156778
2,1960-07-01,0.004899312398270572
3,1960-10-01,-0.01283131150642114
4,1961-01-01,0.006750179668602918
5,1961-04-01,0.016978546831256214
6,1961-07-01,0.01920365795755208
7,1961-10-01,0.01961669610399941
8,1962-01-01,0.017836631964615934
9,1962-04-01,0.009047543909272315
10,1962-07-01,0.012295666652338832
11,1962-10-01,0.0032940187184664627
12,1963-01-01,0.010920904258454156
13,1963-04-01,0.01122414332466426
14,1963-07-01,0.021988309915998316
15,1963-10-01,0.006559047456915268
16,1964-01-01,0.02108713584963695
17,1964-04-01,0.010890683785215627
18,1964-07-01,0.015626016602433346
19,1964-10-01,0.0030919108659188677
20,1965-01-01,0.024199081202691763
21,1965-04-01,0.01263470828688229
22,1965-07-01,0.022231604683935924
23,1965-10-01,0.023039017129498518
24,1966-01-01,0.02433835311415322
25,1966-04-01,0.003414704659112866
26,1966-07-01,0.008468325707038149
27,1966-10-01,0.008204034288907813
28,1967-01-01,0.008857933144789998
29,1967-04-01,0.0006135146938617275
30,1967-07-01,0.0094607602630421
31,1967-10-01,0.007538533217112953
32,1968-01-01,0.020392710386833324
33,1968-04-01,0.016703730044944853
34,1968-07-01,0.007745185610438465
35,1968-10-01,0.003927740990250728
36,1969-01-01,0.015644306691076748
37,1969-04-01,0.0030335394618477007
38,1969-07-01,0.0065995235511946415
39,1969-10-01,-0.004882090503505521
40,1970-01-01,-0.0014889171367881149
41,1970-04-01,0.0014171841501762206
42,1970-07-01,0.009214673849564647
43,1970-10-01,-0.010715731732062195
44,1971-01-01,0.02716149225838893
45,1971-04-01,0.005408166883097643
46,1971-07-01,0.008224468254407702
47,1971-10-01,0.00234864641128274
48,1972-01-01,0.018372159119672382
49,1972-04-01,0.022692875057543915
50,1972-07-01,0.009440896315751957
51,1972-10-01,0.016744358499800605
52,1973-01-01,0.024749417308557398
53,1973-04-01,0.010887434340660196
54,1973-07-01,-0.005258383288382795
55,1973-10-01,0.009492308406954919
56,1974-01-01,-0.008597052648146919
57,1974-04-01,0.0023769701068907523
58,1974-07-01,-0.009452773845007756
59,1974-10-01,-0.0038840577220465855
60,1975-01-01,-0.012176343312886084
61,1975-04-01,0.007147011894339972
62,1975-07-01,0.01712044616233399
63,1975-10-01,0.013470928953975836
64,1976-01-01,0.02249467623247048
65,1976-04-01,0.007333740376798126
66,1976-07-01,0.005474075847426096
67,1976-10-01,0.007226035711748402
68,1977-01-01,0.011862331478426524
69,1977-04-01,0.019419235219494402
70,1977-07-01,0.01803164972215643
71,1977-10-01,1.992779642701059e-05
72,1978-01-01,0.00319842139570925
73,1978-04-01,0.03864772683799611
74,1978-07-01,0.010057487547670219
75,1978-10-01,0.013441254208500286
76,1979-01-01,0.0017959381379095696
77,1979-04-01,0.0010674528822540719
78,1979-07-01,0.007428046876444716
79,1979-10-01,0.002500451694941619
80,1980-01-01,0.0031457115392630186
81,1980-04-01,-0.020604348641575676
82,1980-07-01,-0.0011885474978821087
83,1980-10-01,0.018649233201466497
84,1981-01-01,0.019594222106853687
85,1981-04-01,-0.007410757067079277
86,1981-07-01,0.01197502074963408
87,1981-10-01,-0.010895967316235544
88,1982-01-01,-0.015536446424985861
89,1982-04-01,0.0045617712847594305
90,1982-07-01,-0.003822668357868153
91,1982-10-01,0.0004000878796246443
92,1983-01-01,0.013177904101375981
93,1983-04-01,0.022755202453599743
94,1983-07-01,0.019989546084432597
95,1983-10-01,0.020861826282885465
96,1984-01-01,0.019547903421914148
97,1984-04-01,0.0172776158649941
98,1984-07-01,0.009640100468944812
99,1984-10-01,0.008207729448110435
100,1985-01-01,0.0096897922754009
101,1985-04-01,0.00880473572817908
102,1985-07-01,0.015272714228687922
103,1985-10-01,0.007434491447220193
104,1986-01-01,0.009337476298391323
105,1986-04-01,0.004502963552820649
106,1986-07-01,0.009566680366350555
107,1986-10-01,0.005363928796076722
108,1987-01-01,0.007418449354178902
109,1987-04-01,0.010781776439800383
110,1987-07-01,0.00867178025148685
111,1987-10-01,0.017169568645530875
112,1988-01-01,0.005168825405082789
113,1988-04-01,0.013140322788294911
114,1988-07-01,0.0058596964531409945
115,1988-10-01,0.01332456056364184
116,1989-01-01,0.01016394950898869
117,1989-04-01,0.007630996574299775
118,1989-07-01,0.007407356250722863
119,1989-10-01,0.0019698105538052957
120,1990-01-01,0.010928820446238552
121,1990-04-01,0.0036297003021481533
122,1990-07-01,0.0006658167932800385
123,1990-10-01,-0.00910404556967992
124,1991-01-01,-0.004679406451076118
125,1991-04-01,0.007796890568610104
126,1991-07-01,0.005053586865160886
127,1991-10-01,0.0034854484461859236
128,1992-01-01,0.011972522099874316
129,1992-04-01,0.010843032755055937
130,1992-07-01,0.009881101865980568
131,1992-10-01,0.010428555994048683
132,1993-01-01,0.0016694372234020705
133,1993-04-01,0.0058217094392873925
134,1993-07-01,0.00477154822775705
135,1993-10-01,0.01360149302911906
136,1994-01-01,0.00970362988251705
137,1994-04-01,0.013551826308451309
138,1994-07-01,0.005845845553328566
139,1994-10-01,0.011455701559946796
140,1995-01-01,0.003547805075420518
141,1995-04-01,0.00298322846097121
142,1995-07-01,0.008507255022384363
143,1995-10-01,0.006790820510536255
144,1996-01-01,0.007490501226268043
145,1996-04-01,0.016679441018912833
146,1996-07-01,0.008970337411311258
147,1996-10-01,0.010383695301930063
148,1997-01-01,0.0064544319859773935
149,1997-04-01,0.01665217830555843
150,1997-07-01,0.012485689750959317
151,1997-10-01,0.008538602727445443
152,1998-01-01,0.010037531320823412
